Heartbeat done
Requested the message succesfully
ahrs AHRS2 {roll : 0.000114278809633106, pitch : -9.1635636636056e-05, yaw : -0.3456798195838928, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001143275439972058, pitch : -9.341864642919973e-05, yaw : -0.3456784784793854, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00011240151070524007, pitch : -9.618373587727547e-05, yaw : -0.3456777334213257, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00011194785474799573, pitch : -9.932782995747402e-05, yaw : -0.3456788659095764, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00011150000500492752, pitch : -0.00010100369399879128, yaw : -0.3456772267818451, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00011243463086429983, pitch : -0.00010119744547409937, yaw : -0.34567731618881226, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00011085618461947888, pitch : -0.00010367685172241181, yaw : -0.3456774652004242, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00011151272337883711, pitch : -0.00010384255438111722, yaw : -0.3456774652004242, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00011165929754497483, pitch : -0.00010294135427102447, yaw : -0.345674604177475, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001122213143389672, pitch : -0.00010096875485032797, yaw : -0.3456748127937317, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00011192067177034914, pitch : -0.0001011111235129647, yaw : -0.34567347168922424, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00011283419735264033, pitch : -0.00010014584404416382, yaw : -0.34567373991012573, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001134207850554958, pitch : -9.815090015763417e-05, yaw : -0.3456697165966034, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00011769821867346764, pitch : -0.00010047540854429826, yaw : -0.3456697463989258, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012126924411859363, pitch : -0.00010002473572967574, yaw : -0.3456691801548004, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012308673467487097, pitch : -0.00010042953363154083, yaw : -0.3456701636314392, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012443870946299285, pitch : -9.964901255443692e-05, yaw : -0.34567007422447205, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012703660468105227, pitch : -0.00010026164818555117, yaw : -0.3456696569919586, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012872522347606719, pitch : -0.00010047588148154318, yaw : -0.34566959738731384, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013024051440879703, pitch : -9.826875611906871e-05, yaw : -0.3456686735153198, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013040484918747097, pitch : -9.490428783465177e-05, yaw : -0.34566715359687805, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001324469194514677, pitch : -9.319329546997324e-05, yaw : -0.34566935896873474, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013209246390033513, pitch : -8.962890569819137e-05, yaw : -0.3456684947013855, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001326453930232674, pitch : -8.815315231913701e-05, yaw : -0.3456707298755646, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013243014109320939, pitch : -8.605036418884993e-05, yaw : -0.345673531293869, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013596915232483298, pitch : -8.355503814527765e-05, yaw : -0.3456750810146332, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013811908138450235, pitch : -8.31516517791897e-05, yaw : -0.34567445516586304, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014085994916968048, pitch : -8.071033516898751e-05, yaw : -0.34567636251449585, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014477624790742993, pitch : -8.026319119380787e-05, yaw : -0.34567752480506897, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014643694157712162, pitch : -7.911514694569632e-05, yaw : -0.3456774652004242, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00015140547475311905, pitch : -7.673492655158043e-05, yaw : -0.345681756734848, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001499862555647269, pitch : -7.708416524110362e-05, yaw : -0.3456827402114868, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014848924183752388, pitch : -7.522985833929852e-05, yaw : -0.34568190574645996, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014705224020872265, pitch : -7.272938819369301e-05, yaw : -0.3456820547580719, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014610178186558187, pitch : -7.247311441460624e-05, yaw : -0.34568363428115845, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014461271348409355, pitch : -7.202265260275453e-05, yaw : -0.3456803560256958, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014273959095589817, pitch : -7.148101576603949e-05, yaw : -0.34568214416503906, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.000142448945553042, pitch : -6.971524271648377e-05, yaw : -0.34568318724632263, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014118147373665124, pitch : -6.842820585006848e-05, yaw : -0.3456836938858032, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014072358317207545, pitch : -6.83362886775285e-05, yaw : -0.3456851840019226, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014037619985174388, pitch : -6.853272498119622e-05, yaw : -0.34568479657173157, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013954738096799701, pitch : -6.630329153267667e-05, yaw : -0.3456842005252838, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001398563472321257, pitch : -6.447876512538642e-05, yaw : -0.34568506479263306, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001399898756062612, pitch : -6.228384154383093e-05, yaw : -0.3456861674785614, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013959247735328972, pitch : -6.312796904239804e-05, yaw : -0.3456839323043823, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014011877647135407, pitch : -6.43395324004814e-05, yaw : -0.3456849157810211, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013990620209369808, pitch : -6.374381337082013e-05, yaw : -0.34568503499031067, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014000873488839716, pitch : -6.187448889249936e-05, yaw : -0.34568163752555847, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014087445742916316, pitch : -6.0527647292474285e-05, yaw : -0.3456840515136719, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014250709500629455, pitch : -5.764388697571121e-05, yaw : -0.3456868827342987, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014082032430451363, pitch : -5.791715739178471e-05, yaw : -0.34568777680397034, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001413347345078364, pitch : -5.6877066526794806e-05, yaw : -0.3456891179084778, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014159177953843027, pitch : -5.438303196569905e-05, yaw : -0.3456885516643524, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014143290172796696, pitch : -5.2638253691839054e-05, yaw : -0.34568750858306885, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014153760275803506, pitch : -5.1847808208549395e-05, yaw : -0.3456863760948181, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014017251669429243, pitch : -5.120233981870115e-05, yaw : -0.3456859588623047, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014151178766041994, pitch : -5.104460069560446e-05, yaw : -0.3456886112689972, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014183414168655872, pitch : -5.341000360203907e-05, yaw : -0.3456893265247345, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.000142878940096125, pitch : -5.361068542697467e-05, yaw : -0.3456882834434509, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014301447663456202, pitch : -5.334058005246334e-05, yaw : -0.3456896245479584, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014392493176274002, pitch : -5.3299529099604115e-05, yaw : -0.34569212794303894, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014402596571017057, pitch : -5.417312422650866e-05, yaw : -0.345693439245224, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001427130337106064, pitch : -5.6715300161158666e-05, yaw : -0.3456957936286926, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001409119722666219, pitch : -5.688074088538997e-05, yaw : -0.34569796919822693, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.000138534524012357, pitch : -5.9969657741021365e-05, yaw : -0.3456973731517792, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013732255320064723, pitch : -6.182614743011072e-05, yaw : -0.34569698572158813, altitude : 0.0, lat : 0, lng : 0}
